0.0221566,13.9498,
0.0288035,14.3274,
0.0354505,14.6020,
0.0376662,14.9167,
0.0376662,15.2428,
0.0465288,15.5118,
0.0598227,15.8379,
0.0753324,16.1240,
0.0841950,16.4787,
0.112999,16.7819,
0.115214,17.1195,
0.141802,17.4399,
0.148449,17.6516,
0.181684,18.0178,
0.212703,18.3439,
0.239291,18.6186,
0.276957,18.9161,
0.327917,19.2308,
0.376662,19.4539,
0.445347,19.7285,
0.514032,19.9174,
0.618168,20.0890,
0.726736,20.2320,
0.835303,20.3064,
0.932792,20.3922,
1.05908,20.4552,
1.15879,20.5582,
1.25185,20.6497,
1.35598,20.7813,
1.44018,20.9186,
1.56425,21.0788,
1.65066,21.2047,
1.75702,21.3134,
1.85229,21.4278,
1.95199,21.4736,
2.05170,21.5079,
2.16470,21.5423,
2.26662,21.5194,
2.38183,21.4736,
2.50369,21.3821,
2.59453,21.2791,
2.69867,21.1475,
2.79173,21.0502,
2.88700,20.8843,
2.98006,20.7413,
3.05982,20.5868,
3.15510,20.4094,
3.24372,20.2092,
3.31905,20.0776,
3.42541,19.8601,
3.48301,19.7114,
3.59380,19.5111,
3.67356,19.2994,
3.76219,19.1278,
3.84195,18.9390,
3.93279,18.7502,
4.02363,18.5499,
4.11891,18.3725,
4.21196,18.1494,
4.28508,17.9663,
4.37371,17.7889,
4.47341,17.6116,
