# r, topo
7.812500000000000000e-03,1.629241411904295000e-01
2.343750000000000000e-02,1.625012739235680848e-01
3.906250000000000000e-02,1.617109788472664011e-01
5.468750000000000000e-02,1.605478242660545174e-01
7.031250000000000000e-02,1.590161803129153673e-01
8.593750000000000000e-02,1.571260104725165641e-01
1.015625000000000000e-01,1.548904674786026614e-01
1.171875000000000000e-01,1.523254289639773551e-01
1.328125000000000000e-01,1.494490604110202125e-01
1.484375000000000000e-01,1.462814362402544144e-01
1.640625000000000000e-01,1.428441846536062376e-01
1.796875000000000000e-01,1.391601442627044827e-01
1.953125000000000000e-01,1.352530284367670088e-01
2.109375000000000000e-01,1.311470961603516949e-01
2.265625000000000000e-01,1.268668303756007032e-01
2.421875000000000000e-01,1.224366261020094493e-01
2.578125000000000000e-01,1.178804914038609208e-01
2.734375000000000000e-01,1.132217646262098226e-01
2.890625000000000000e-01,1.084828513191276184e-01
3.046875000000000000e-01,1.036849839873560941e-01
3.203125000000000000e-01,9.884800731162322884e-02
3.359375000000000000e-01,9.399019086340358597e-02
3.515625000000000000e-01,8.912807064874296581e-02
3.671875000000000000e-01,8.427632013345637274e-02
3.828125000000000000e-01,7.944765077643296813e-02
3.984375000000000000e-01,7.465274157389130416e-02
4.140625000000000000e-01,6.990019672850476817e-02
4.296875000000000000e-01,6.519653032614969312e-02
4.453125000000000000e-01,6.054617684293243929e-02
4.609375000000000000e-01,5.595152642029988660e-02
4.765625000000000000e-01,5.141298413217082475e-02
4.921875000000000000e-01,4.692905291266097345e-02
5.078125000000000000e-01,4.249644039531158546e-02
5.234375000000000000e-01,3.811019060542184672e-02
5.390625000000000000e-01,3.376384220733671254e-02
5.546875000000000000e-01,2.944961578911661423e-02
5.703125000000000000e-01,2.515863340686364663e-02
5.859375000000000000e-01,2.088117423577814241e-02
6.015625000000000000e-01,1.660697059601397990e-02
6.171875000000000000e-01,1.232554873470935453e-02
6.328125000000000000e-01,8.026618432521172644e-03
6.484375000000000000e-01,3.700514632042723080e-03
6.640625000000000000e-01,-6.613072841214488913e-04
6.796875000000000000e-01,-5.065723349616655345e-03
6.953125000000000000e-01,-9.517344180002237572e-03
7.109375000000000000e-01,-1.401787811062831651e-02
7.265625000000000000e-01,-1.856546863269068273e-02
7.421875000000000000e-01,-2.315402730436180723e-02
7.578125000000000000e-01,-2.777259125684713656e-02
7.734375000000000000e-01,-3.240474318393462422e-02
7.890625000000000000e-01,-3.702814077197708748e-02
8.046875000000000000e-01,-4.161421099575163957e-02
8.203125000000000000e-01,-4.612807117756301256e-02
8.359375000000000000e-01,-5.052874121804525054e-02
8.515625000000000000e-01,-5.476970746006836616e-02
8.671875000000000000e-01,-5.879988556780835901e-02
8.828125000000000000e-01,-6.256500524606545266e-02
8.984375000000000000e-01,-6.600940311753920875e-02
9.140625000000000000e-01,-6.907816295461434442e-02
9.296875000000000000e-01,-7.171949200575263028e-02
9.453125000000000000e-01,-7.388717198890817905e-02
9.609375000000000000e-01,-7.554297938758709752e-02
9.765625000000000000e-01,-7.665824303701637699e-02
9.921875000000000000e-01,-7.721537752843332658e-02
